27.01.2016 12:32:14	Ansauglufttemperatur	Oeltemperatur	Drosselklappe	Pedalwert	Luftmassenmesser - Luftmasse	Motortemperatur
27.01.2016 12:39:25	15,000000	53,092003	0,102542	0,000000	12,250000	80,250000
27.01.2016 12:39:26	15,000000	53,888000	0,102542	0,000000	12,250000	81,000000
27.01.2016 12:39:28	15,000000	53,888000	0,102542	0,000000	7,250000	81,000000
27.01.2016 12:39:29	15,000000	53,888000	0,102542	15,452653	27,000000	81,000000
27.01.2016 12:39:30	16,500000	53,888000	10,151618	28,133020	68,250000	81,000000
27.01.2016 12:39:32	15,750000	53,888000	11,894825	27,340155	76,500000	81,000000
27.01.2016 12:39:33	15,750000	53,888000	2,153373	20,076180	55,000000	81,000000
27.01.2016 12:39:34	15,000000	53,888000	0,000000	15,057135	38,750000	81,000000
27.01.2016 12:39:35	15,000000	53,888000	0,102542	0,000000	14,750000	81,000000
27.01.2016 12:39:37	14,250000	53,888000	0,102542	0,000000	12,250000	81,000000
27.01.2016 12:39:38	14,250000	54,683998	0,102542	16,113680	37,750000	81,000000
27.01.2016 12:39:39	0	0	0	0	0	0
27.01.2016 12:39:41	15,750000	54,683998	5,742330	23,773170	68,750000	81,750000
27.01.2016 12:39:43	15,000000	54,683998	6,460121	23,773170	74,000000	81,750000
27.01.2016 12:39:44	15,000000	54,683998	0,000000	15,981840	42,750000	81,750000
27.01.2016 12:39:45	15,000000	54,683998	0,000000	13,339563	34,000000	82,500000
27.01.2016 12:39:46	15,000000	54,683998	0,102542	13,207725	31,750000	82,500000
27.01.2016 12:39:48	15,000000	55,480003	0,102542	13,603242	32,500000	82,500000
27.01.2016 12:39:49	15,000000	55,480003	0,000000	17,829420	51,000000	82,500000
27.01.2016 12:39:50	15,000000	55,480003	0,102542	0,000000	12,000000	82,500000
27.01.2016 12:39:52	15,000000	55,480003	0,102542	0,000000	12,000000	83,250000
